gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000010626,180.6787648,0.054474799,0.301249324,0.180829613,0.856501319,0.964169131
ENSG00000010671,5.653546623,-0.855806778,0.604856532,-1.414892181,0.157100111,0.562330303
ENSG00000010704,334.0205468,-0.176519589,0.251883572,-0.700798338,0.483428876,0.844859706
ENSG00000010803,650.6541624,0.335852056,0.227172128,1.478403444,0.139299824,0.533210705
ENSG00000010810,2260.586397,-0.406579783,0.261665946,-1.553812367,0.12022918,0.497215021
ENSG00000010818,2077.699472,0.154523569,0.317017328,0.487429408,0.625954057,0.901344878
ENSG00000010932,2.018533827,0.402709461,0.572241551,0.703740334,0.481594497,NA
ENSG00000011007,2844.044209,0.062566325,0.296655784,0.210905462,0.832961042,0.958583851
ENSG00000011009,3110.119748,-0.051383648,0.256071912,-0.200661007,0.840963652,0.960523488
ENSG00000011021,640.0674532,0.34025592,0.293075113,1.160985375,0.245647847,0.675455271
ENSG00000011028,2837.90827,-1.40725089,0.317036906,-4.438760477,9.05E-06,0.000513381
ENSG00000011083,0.308979326,-0.00632072,0.332044137,-0.019035782,0.98481256,NA
ENSG00000011105,1327.317485,-0.318705495,0.225516591,-1.413224161,0.157589825,0.562738556
ENSG00000011114,3468.658001,-0.145792236,0.216853115,-0.672308703,0.501387191,0.853180732
ENSG00000011132,658.5385997,-0.258310704,0.218815578,-1.180495037,0.237803383,0.66537969
ENSG00000011143,376.8848151,0.215903783,0.259402434,0.832312095,0.405232805,0.79863061
ENSG00000011198,769.2196142,-0.093002436,0.301792633,-0.308166686,0.7579555,0.938537785
ENSG00000011201,198.811901,-1.371707195,0.335154771,-4.09275747,4.26E-05,0.001787298
ENSG00000011243,1571.523773,-0.397348136,0.238999587,-1.662547375,0.096403073,0.446718722
ENSG00000011258,380.1454095,-0.226214159,0.312371361,-0.724183417,0.468953138,0.837777637
ENSG00000011260,1278.247449,0.145264523,0.249119279,0.58311233,0.559817684,0.877844802
ENSG00000011275,1726.504683,0.030665752,0.205608572,0.149146274,0.881438213,0.972305075
ENSG00000011295,1907.617073,-0.027234358,0.300152623,-0.090735033,0.927703133,0.982593109
ENSG00000011304,13581.78322,0.331078837,0.25504574,1.298115534,0.194247637,0.615632709
ENSG00000011332,57.99540938,-0.081700612,0.403645377,-0.202406907,0.839598629,0.960523488
ENSG00000011347,529.3772127,0.255529206,0.514070858,0.497070009,0.619139683,0.897670289
ENSG00000011376,1245.075947,0.247788157,0.313316608,0.790855483,0.429028329,0.81569956
ENSG00000011405,2247.308702,-0.170602008,0.29528283,-0.577757971,0.563427535,0.879042522
ENSG00000011422,1228.178407,1.033095236,0.297466634,3.472978541,0.000514717,0.012926979
ENSG00000011426,2633.964673,1.932486331,0.456268448,4.235415225,2.28E-05,0.00108177
ENSG00000011451,3320.453757,-0.102760861,0.21359523,-0.481100917,0.630444776,0.902915156
ENSG00000011454,2923.777905,-0.03853498,0.2873881,-0.134086901,0.893333857,0.974266715
ENSG00000011465,738.7610523,0.32885468,0.533389541,0.616537549,NA,NA
ENSG00000011478,723.2760777,0.031863125,0.27744414,0.114845192,0.908567828,0.977999304
ENSG00000011485,2829.324625,0.240775901,0.250319722,0.961873477,0.336113163,0.751800287
ENSG00000011523,593.0146513,0.074659053,0.272144416,0.274336156,0.783826302,0.943686764
ENSG00000011566,802.3181247,-0.110191001,0.274646495,-0.401210293,0.688265303,0.921371304
ENSG00000011590,6.162483607,-1.175442842,0.606948857,-1.93664232,0.052789081,0.324189743
ENSG00000011638,2583.662539,-0.197041068,0.372703718,-0.528680178,0.59702733,0.889175149
ENSG00000011677,16.45797743,1.267782739,0.583955131,2.171027657,0.029929082,0.233568806
ENSG00000012048,725.2634602,1.598732325,0.4108327,3.891443709,9.96E-05,0.003526736
ENSG00000012061,4458.080934,0.903335007,0.3232155,2.794838138,0.005192571,0.072470383
ENSG00000012124,9.207070139,-0.324869406,0.578952989,-0.561132616,0.574707135,0.881453856
ENSG00000012171,236.5210485,-1.516169153,0.508734201,-2.98027762,0.002879873,0.046935795
